H-2-IEr,H-2-IAb,1.0,6,1163
HLA-DPA102:02-DPB105:01,HLA-DRB301:01,1.0,7,2237
HLA-DPB11101,H-2-IAk,1.0,2,328
BoLA-DRB302:01,BoLA-DRB312:01,1.0,5,6
HLA-DQA103:01-DQB102:01,HLA-DQA103:01-DQB103:02,0.98,10,1272
H-2-IAp,HLA-DQA102:01-DQB103:03,0.921875,20,764
H-2-IEb,HLA-DRA01:01-DRB113:01,0.909090909091,24,841
HLA-DQA102:01-DQB102:01,HLA-DQB106:02,0.947058823529,37,385
BoLA-DRB311:01,HLA-DPB103:01,1.0,5,104
HLA-DPB103:01,HLA-DPA101:03-DPB103:01,0.994080651128,104,176
H-2-IEp,H-2-IAd,1.0,79,710
HLA-DPB105:01,HLA-DPA102:01-DPB105:01,0.984079445145,113,971
HLA-DPB101:01,HLA-DPA102:01-DPB101:01,0.988367729831,106,983
HLA-DQA101:03-DQB106:01,HLA-DQA101:02-DQB105:02,1.0,4,176
HLA-DQA103:01-DQB104:01,HLA-DQA101:02-DQB105:02,1.0,5,176
HLA-DQA103:02-DQB103:01,HLA-DQA103:01-DQB103:02,1.0,24,1272
HLA-DQA105:05-DQB103:01,H-2-IAq,1.0,10,59
HLA-DQB102:02,HLA-DQA102:01-DQB102:02,1.0,102,214
HLA-DQB105:02,HLA-DQA101:02-DQB105:02,0.982407407407,102,176
HLA-DQB105:03,HLA-DQA101:04-DQB105:03,0.988505747126,102,169
HLA-DQB104:02,HLA-DQA104:01-DQB104:02,0.956350626118,108,976
HLA-DQA103:02-DQB104:01,HLA-DPA101:03-DPB104:01,0.926793431288,154,981
HLA-DRA01:01-DRB115:01,HLA-DRB113:02,0.916666666667,15,2643
HLA-DRB103:05,HLA-DRB113:01,0.974025974026,18,607
HLA-DPA101:03-DPB102:01,HLA-DPA101:03-DPB104:01,0.951312128731,838,981
HLA-DRB103:02,HLA-DQB105:03,0.908234126984,100,102
HLA-DQA101:02-DQB105:01,HLA-DRA01:01-DRB104:04,0.937324082332,835,881
HLA-DRB104:11,HLA-DPA101:03-DPB102:01,1.0,4,838
HLA-DPA103:01-DPB104:02,HLA-DPA102:01-DPB101:01,0.925979755012,974,983
HLA-DQA106:01-DQB104:02,HLA-DQA102:01-DQB104:02,0.935881370092,565,768
HLA-DQA101:03-DQB106:03,HLA-DQA102:01-DQB103:03,0.906166814552,378,764
HLA-DRB108:03,HLA-DRB108:01,1.0,8,148
HLA-DRB113:03,HLA-DPA101:03-DPB103:01,0.938095238095,22,176
HLA-DRB113:04,HLA-DQA101:02-DQB105:01,1.0,12,835
HLA-DRB303:01,HLA-DRA01:01-DRB104:04,0.977678571429,30,881
HLA-RT11:01,BoLA-DRB311:01,1.0,2,5
HLA-DRB110:01,HLA-DRB109:01,0.94757732643,398,2354
HLA-DRA01:01-DRB401:03,HLA-DRA01:01-DRB113:01,0.916638865206,827,841
HLA-DQA104:01-DQB104:02,HLA-DQA103:01-DQB103:02,0.903548680619,976,1272
HLA-DRA01:01-DRB109:01,HLA-DRA01:01-DRB107:01,0.918756863224,866,873
