H-2-IEr,H-2-IAb,1.0,6,1163
HLA-DPA10202-DPB10501,HLA-DRB30101,1.0,7,2237
HLA-DPB11101,H-2-IAk,1.0,2,328
BoLA-DRB30201,BoLA-DRB31201,1.0,5,6
HLA-DQA10301-DQB10201,HLA-DQA10301-DQB10302,0.98,10,1272
H-2-IAp,HLA-DQA10201-DQB10303,0.921875,20,764
H-2-IEb,HLA-DRA0101-DRB11301,0.909090909091,24,841
HLA-DQA10201-DQB10201,HLA-DQB10602,0.947058823529,37,385
BoLA-DRB31101,HLA-DPB10301,1.0,5,104
HLA-DPB10301,HLA-DPA10103-DPB10301,0.994080651128,104,176
H-2-IEp,H-2-IAd,1.0,79,710
HLA-DPB10501,HLA-DPA10201-DPB10501,0.984079445145,113,971
HLA-DPB10101,HLA-DPA10201-DPB10101,0.988367729831,106,983
HLA-DQA10103-DQB10601,HLA-DQA10102-DQB10502,1.0,4,176
HLA-DQA10301-DQB10401,HLA-DQA10102-DQB10502,1.0,5,176
HLA-DQA10302-DQB10301,HLA-DQA10301-DQB10302,1.0,24,1272
HLA-DQA10505-DQB10301,H-2-IAq,1.0,10,59
HLA-DQB10202,HLA-DQA10201-DQB10202,1.0,102,214
HLA-DQB10502,HLA-DQA10102-DQB10502,0.982407407407,102,176
HLA-DQB10503,HLA-DQA10104-DQB10503,0.988505747126,102,169
HLA-DQB10402,HLA-DQA10401-DQB10402,0.956350626118,108,976
HLA-DQA10302-DQB10401,HLA-DPA10103-DPB10401,0.926793431288,154,981
HLA-DRA0101-DRB11501,HLA-DRB11302,0.916666666667,15,2643
HLA-DRB10305,HLA-DRB11301,0.974025974026,18,607
HLA-DPA10103-DPB10201,HLA-DPA10103-DPB10401,0.951312128731,838,981
HLA-DRB10302,HLA-DQB10503,0.908234126984,100,102
HLA-DQA10102-DQB10501,HLA-DRA0101-DRB10404,0.937324082332,835,881
HLA-DRB10411,HLA-DPA10103-DPB10201,1.0,4,838
HLA-DPA10301-DPB10402,HLA-DPA10201-DPB10101,0.925979755012,974,983
HLA-DQA10601-DQB10402,HLA-DQA10201-DQB10402,0.935881370092,565,768
HLA-DQA10103-DQB10603,HLA-DQA10201-DQB10303,0.906166814552,378,764
HLA-DRB10803,HLA-DRB10801,1.0,8,148
HLA-DRB11303,HLA-DPA10103-DPB10301,0.938095238095,22,176
HLA-DRB11304,HLA-DQA10102-DQB10501,1.0,12,835
HLA-DRB30301,HLA-DRA0101-DRB10404,0.977678571429,30,881
HLA-RT1101,BoLA-DRB31101,1.0,2,5
HLA-DRB11001,HLA-DRB10901,0.94757732643,398,2354
HLA-DRA0101-DRB40103,HLA-DRA0101-DRB11301,0.916638865206,827,841
HLA-DQA10401-DQB10402,HLA-DQA10301-DQB10302,0.903548680619,976,1272
HLA-DRA0101-DRB10901,HLA-DRA0101-DRB10701,0.918756863224,866,873
